COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
KSA,10,FW,Mohammad,Al-Sahlawi,10,1,1987,31,44,28,KSA, Al-Nassr  
KOR,6,DF,Park,Joo-ho,16,1,1987,31,37,0,KOR, Ulsan Hyundai 
CRO,2,DF,Šime,Vrsaljko,10,1,1992,26,37,0,ESP,Atlético Madrid  
ESP,8,MF,Koke,,8,1,1992,26,42,0,ESP,Atlético Madrid  
URU,2,DF,José,Giménez,20,1,1995,23,44,6,ESP,Atlético Madrid  
URU,9,FW,Luis,Suárez,24,1,1987,31,101,53,ESP,Barcelona   
SRB,23,GK,Marko,Dmitrović,24,1,1992,26,2,0,ESP,Eibar   
ESP,2,DF,Dani,Carvajal,11,1,1992,26,17,0,ESP,Real Madrid  
ESP,4,DF,Nacho,,18,1,1990,28,18,1,ESP,Real Madrid  
ESP,20,MF,Marco,Asensio,21,1,1996,22,14,0,ESP,Real Madrid  
GER,8,MF,Toni,Kroos,4,1,1990,28,85,13,ESP,Real Madrid  
MEX,15,DF,Héctor,Moreno,17,1,1988,30,94,3,ESP,Real Sociedad  
SRB,2,DF,Antonio,Rukavina,26,1,1984,34,48,0,ESP,Villarreal   
AUS,20,DF,Trent,Sainsbury,5,1,1992,26,37,3,SUI,Grasshopper   
TUN,6,DF,Rami,Bedoui,19,1,1990,28,10,0,TUN,Étoile du Sahel 
SUI,20,DF,Johan,Djourou,18,1,1987,31,74,2,TUR,Antalyaspor   
SEN,7,FW,Moussa,Sow,19,1,1986,32,50,19,TUR,Bursaspor   
CRO,22,DF,Josip,Pivarić,30,1,1989,29,19,0,UKR,Dynamo Kyiv  
BRA,21,FW,Taison,,13,1,1988,30,8,1,UKR,Shakhtar Donetsk  
KOR,16,MF,Ki,Sung-yueng,24,1,1989,29,104,10,UNA,
EGY,4,DF,Omar,Gaber,30,1,1992,26,23,0,USA,Los Angeles  
PAN,4,DF,Fidel,Escobar,9,1,1995,23,25,1,USA,New York Red Bulls
AUS,19,DF,Josh,Risdon,27,7,1992,25,10,0,AUS,Western Sydney Wanderers 
MAR,23,MF,Mehdi,Carcela-González,1,7,1989,28,22,1,BEL,Standard Liège  
MEX,13,GK,Guillermo,Ochoa,13,7,1985,32,95,0,BEL,Standard Liège  
CRC,2,DF,Johnny,Acosta,21,7,1983,34,70,2,COL,Rionegro Águilas  
EGY,16,GK,Sherif,Ekramy,10,7,1983,34,23,0,EGY,Al Ahly  
EGY,17,MF,Mohamed,Elneny,11,7,1992,25,66,5,ENG,Arsenal   
DEN,14,DF,Henrik,Dalsgaard,27,7,1989,28,13,0,ENG,Brentford   
COL,21,FW,José,Izquierdo,7,7,1992,25,6,1,ENG,Brighton & Hove Albion
POL,12,GK,Bartosz,Białkowski,6,7,1987,30,1,0,ENG,Ipswich Town  
CRO,6,DF,Dejan,Lovren,5,7,1989,28,41,2,ENG,Liverpool   
BRA,14,DF,Danilo,,15,7,1991,26,19,0,ENG,Manchester City  
FRA,22,DF,Benjamin,Mendy,17,7,1994,23,7,0,ENG,Manchester City  
ENG,18,DF,Ashley,Young,9,7,1985,32,36,7,ENG,Manchester United  
